Frequency (Hz)	Level (dB)
332.418823	-54.195335
333.091736	-53.590427
333.764648	-53.422035
334.437561	-55.546513
335.110474	-57.429745
335.783386	-57.904381
336.456299	-62.281029
337.129211	-59.585617
337.802124	-62.659161
338.475037	-63.336823
339.147949	-63.414303
339.820862	-62.853413
340.493774	-60.649109
341.166687	-59.506767
341.839600	-58.596771
342.512512	-59.063446
343.185425	-59.873348
343.858337	-62.173634
344.531250	-65.401207
345.204163	-68.896080
345.877075	-70.631073
346.549988	-67.462425
347.222900	-67.304771
347.895813	-65.581207
348.568726	-65.294228
349.241638	-67.810501
349.914551	-67.865463
350.587463	-68.939278
351.260376	-70.153641
351.933289	-64.313133
352.606201	-63.185410
353.279114	-61.268093
353.952026	-59.879131
354.624939	-60.694153
355.297852	-60.982025
355.970764	-65.321632
356.643677	-66.314003
357.316589	-66.934669
357.989502	-65.385612
358.662415	-64.322037
359.335327	-64.782852
360.008240	-66.152489
360.681152	-65.533524
361.354065	-67.263123
362.026978	-69.913933
362.699890	-66.488113
363.372803	-65.974731
364.045715	-64.006187
364.718628	-64.136864
365.391541	-65.125153
366.064453	-66.675140
366.737366	-70.196663
367.410278	-69.056152
368.083191	-67.022316
368.756104	-66.453598
369.429016	-67.384224
370.101929	-67.185410
370.774841	-68.494949
371.447754	-68.502075
372.120667	-66.561096
372.793579	-66.409782
373.466492	-67.221275
374.139404	-68.968086
374.812317	-72.369164
375.485229	-72.509506
376.158142	-71.240005
376.831055	-70.545525
377.503967	-68.513077
378.176880	-68.031319
378.849792	-69.176231
379.522705	-68.236038
380.195618	-65.190727
380.868530	-63.687466
381.541443	-62.734539
382.214355	-63.136509
382.887268	-62.940262
383.560181	-64.255539
384.233093	-65.304825
384.906006	-66.420387
385.578918	-63.050037
386.251831	-62.106144
386.924744	-59.548073
387.597656	-60.285110
388.270569	-59.820869
388.943481	-59.075581
389.616394	-57.512165
390.289307	-56.313675
390.962219	-57.578461
391.635132	-56.981243
392.308044	-57.276917
392.980957	-56.805534
393.653870	-57.408928
394.326782	-59.067059
394.999695	-57.525372
395.672607	-58.069202
396.345520	-55.935112
397.018433	-57.388458
397.691345	-55.409645
398.364258	-56.006046
399.037170	-55.457596
399.710083	-58.394363
400.382996	-55.325420
401.055908	-55.968353
401.728821	-54.862625
402.401733	-56.010223
403.074646	-54.418255
403.747559	-54.328674
404.420471	-54.888035
405.093384	-56.526718
405.766296	-56.778259
406.439209	-58.082703
407.112122	-57.730728
407.785034	-58.492908
408.457947	-57.423862
409.130859	-57.569256
409.803772	-56.629856
410.476685	-56.039482
411.149597	-56.042709
411.822510	-56.594345
412.495422	-57.837029
413.168335	-58.696156
413.841248	-58.335281
414.514160	-57.996098
415.187073	-57.741142
415.859985	-59.071484
416.532898	-60.425999
417.205811	-61.651512
417.878723	-61.159554
418.551636	-60.926479
419.224548	-61.704487
419.897461	-61.133556
420.570374	-63.085327
421.243286	-63.747021
421.916199	-67.503677
422.589111	-67.073097
